[00:00 - 00:03] はいではゲスト号司によるこの後特別講義に入ります
[06:19 - 06:27] 1ヶ月に100万バーで売り上げ出たら結構いい方だよねっていうところでインスタだけでもう100万作ったりとか
[06:27 - 06:34] あとはうどんの専門店っていうところで群馬県の高崎市にあるうどん屋さんなんですけどこれが
[06:34 - 06:43] 広告費が毎月1.5万円だけメタ広告費を使って認知の取り方をやっただけで
[06:43 - 06:49] 半年でこんな感じで売上が2倍になったりとか
[06:49 - 06:53] あとはこの体験施設ベアートっていうクマの
[06:53 - 07:01] なんだろうクマのプラスチックのなんかこういうのがあるんですけどそこに絵の具を垂らすっていう謎の体験があるんですけど
[07:01 - 07:11] なんかそれをやる施設っていうところを支援させていただいてバズる動画みたいなのを作ってここは高崎ゼロ円で動画を
[07:11 - 07:18] バズらせただけで2ヶ月後の売り上げが9万円になったりとかみたいな感じで店舗っていうところも
[07:18 - 07:26] そもそもオーガニックでどういうふうに動画作るかみたいなところをちゃんと分解することによって
[07:26 - 07:32] こういう感じで店舗さんの売上げをあげるっていうところを100点っぽ以上今までやってますと
[07:32 - 07:38] あとはイベントに1万5千人ぐらい自分でこの前取材したやつで読んだり読んだりとか
[07:38 - 07:42] まあ色々メディアムNHKで使ったりとかするんですけど
[07:42 - 07:49] まあなんかそんな感じで色々やらせていただいてるっていう感じで地方で今のインスタグラムの力っていうところを
[07:49 - 08:00] 輝かしてるつまりなんだろうな来店させるとか来放させるみたいなところの行動関係っていうところで使ってるみたいなそんな人間になりますと
[08:00 - 08:09] じゃあ自己紹介はこんな感じで終わりにしてここからは皆さんのためになるような形で何か参考になればなと思って今日はオーガニック
[08:09 - 08:12] っていう観点でお話させていただければなというふうに思ってます
[08:12 - 08:18] なのでまずは最初の10分ぐらいでオーガニックがなぜ大事なのかみたいなところを話させていただいて
[08:18 - 08:27] その後に初期構築っていうところでどうやってアカウント整えるかみたいなところとそこに合わせてどうやって動画を作るべきかみたいな
[08:27 - 08:35] そのさっき林さんがおっしゃったようにオーガニックの伸びてる動画を見ると広告ってめちゃくちゃ当たるんですよ
[08:35 - 08:44] そのさっき林さんが認知広告で100%視聴率が2%あったらいいっていうふうに話したと思うんですけど僕ら7%はないと使わないので
[08:44 - 08:51] というぐらいオーガニックで当たる広告で認知広告を使うのってめちゃくちゃ使えるので
[08:51 - 08:55] ちょっとその辺りも話させていただくのが初期構築っていうところ
[08:55 - 09:04] その後にストーリーとロンチっていうところで表題のところですねリスト運用皆さんラインは入れてラインに入った後に
[09:04 - 09:12] リスト運用っていうところは必ずすると思うんですけどなぜかストーリーの運用はしてない方がすごい多いんじゃないかなって思ってて
[09:12 - 09:20] インスタのストーリーっていうのは後で話すんですけどラインとほぼ一緒の機能なので両方やったら2倍売上が上がるはず
[09:20 - 09:25] なのでそこのやり方っていうところをどうやってやるのかみたいなところを話していけばというふうに思っています
[09:25 - 09:35] じゃあインスタオーガニックの威力っていうところでどんなふうにインスタのオーガニックを使っていくべきかまずその立ち位置みたいなところからお話させてください
[09:35 - 09:42] インスタグラム年々高い集客効果を得ているよっていうところでメタ広告をやられていると思うので
[09:42 - 09:46] ここのたくさん人が使ってるよみたいなところは分かると思いますし
[09:46 - 09:54] 年代が40代でも半分以上超えているよっていうところはまあここは当たり前にご存知かなというふうに思います
[09:54 - 09:58] じゃあそういう中で
[10:02 - 10:07] インスタグラムのオーガニックの活用がなんで大事なのかみたいなところの観点をお話させてください
[10:07 - 10:14] 一つ目として潜在顧客を取り逃さないというところ二つ目顧客のロイヤリティが上がるっていうところと
[10:14 - 10:21] 三つ目が意外と最小コースでできるっていうところこれをちょっと一個ずつお話ししていければいいかなというふうに思っています
[10:21 - 10:26] ということでまず1個目が潜在顧客を取り逃さないというところはちょっと次にやるので
[10:26 - 10:30] 2つ目顧客ロイヤリティが上がるっていうところをお話しさせてください
[10:30 - 10:37] 基本的に広告って直接LPDに飛んでラインに入ってみたいな形で
[10:37 - 10:42] その後セミナー入ってとかっていうふうな形だと思うんですけど
[10:42 - 10:46] やっぱりその場限りでオファーをしているので
[10:46 - 10:50] 換気的な欲求をかき立てなきゃいけないだったりとか
[10:50 - 10:59] その結果顧客のロイヤリティが若干下がったまま売ってしまうみたいなことが容易に起きるのかなというふうに思っているんですけど
[10:59 - 11:02] そんな中でインスタグラムのオーガニックっていうのは
[11:02 - 11:10] 長期的にいろんな角度でこの商品はこうだよこの商品はこうだよっていうふうに説明をすることができるので
[11:10 - 11:12] 顧客のロイヤリティが上がるっていうところ
[11:12 - 11:17] 僕らの今インスタグラムの講座ローカリンクっていう
[11:17 - 11:24] 今お話ししたように半年以内にフォローは1万人でいってみたいな地域やインフレンサーの講座をやってるんですけど
[11:24 - 11:31] そこは今まで売った中で返金したことが150人に売って2人にしかないんですけど
[11:31 - 11:34] それはなんか短期的な欲求をかき立てるっていうよりは
[11:34 - 11:44] 本当に価値に感じてもらうためにストーリーを発信することによってそこが得られているのかなというふうに思っています
[11:44 - 11:48] であと3つ目のこの最小コースでできる意外と最小コースでできるっていうのは
[11:48 - 11:50] 後でご紹介するんですけど
[11:50 - 12:04] ストーリーに関してはデータがあれば基本的にはそのまま自分のデータとうまくいってるストーリーのデータをAIに組み込ませれば
[12:04 - 12:10] たたき台はすぐに作れるのでその辺りを今日はお話しして
[12:10 - 12:14] 意外と簡単なのかもっていうふうに思ってもらえたらいいかなというふうに思ってます
[12:22 - 12:26] ここの洗剤顧客を取り逃さないっていうところの話を
[12:26 - 12:32] このなんか1回ぐらいはもしかしたら見たことあるかもしれないんですけど
[12:32 - 12:36] 先曜日さんの執行役員の方が作った表なんですけど
[12:36 - 12:42] 最近僕先曜日さんといろいろ一緒に仕事させていただいているのでこの表をすごい意識してやってるんですけど
[12:42 - 12:48] 広告っていうのはメタ広告っていうのは割とこっちの検材層だったりとか
[12:48 - 12:56] 順検材層みたいな近めの人を取っていくみたいなところがメインになるのかなというふうに思ってます
[12:56 - 13:00] それがなんて言うでしょうないようにというかなるべく広い人に取れるように
[13:00 - 13:04] 認知広告を使ってその後コンバージョン広告を使おうというところが
[13:04 - 13:08] 会社さんがお話されてることかなというふうに思うんですけど
[13:08 - 13:13] インスタグラムを使うことによってさらにその検材層だったりとかを増やせる
[13:13 - 13:17] 順検材層だったりを増やせるんじゃないかなというふうに思ってます
[13:17 - 13:28] でこの表を見たときにさっきインスタのオーガニックはどんな確実なのかっていうのをまず整理したいというお話をさせてもらったと思うんですけど
[13:28 - 13:40] ここの公式内ンとメルマがって書いてあるところがインスタグラムのフォロワーの教育オーガニックにおいてすごい大事なところかなというふうに思っていて
[13:41 - 13:49] つまり一番最初潜在層として認知広告を回してちょっと気になるなって言って
[13:49 - 13:53] この興味関心のそう順検材層に上がってくると
[13:53 - 14:02] で認知広告を使えばここに上がってくる人っていうのはおそらく皆さん結構作れるし作れてるんじゃないかなというふうに思うんですけど
[14:02 - 14:07] その中で公式内ンっていうところを多分今使ってると
[14:07 - 14:16] なんですけど大体みんな公式内ンでやってるじゃないですか広告回すときってここにいる全員がやっぱりネタ広告回して
[14:16 - 14:26] LP飛ばしてラインに行ってっていうふうな同じ動線を踏んでるので結構見慣れてるんじゃないかなというふうに僕は思っていて
[14:26 - 14:36] つまりみんな同じ配信の仕方をするから文字が違くても動画が違くてもちょっと違うだけに見えちゃうみたいな
[14:36 - 14:44] 要素可能性ってかなあるんじゃないかなというふうに思ってますなので僕はこのインスタグラムっていうところが
[14:44 - 14:50] ストーリーかインスタグラムで一回フォロワーになりますとメタ広告をここで回して
[14:50 - 14:56] 認知広告を回しますとその後に順検材層になった人たちが
[14:56 - 15:03] フォローするっていうパターンもあるじゃないですか皆さん広告を回してる中でアカウントに紐付けて広告を回してる
[15:03 - 15:11] っていう方はフェイスブックアカウントじゃなくてインスタのアカウントに紐付けて配信することが結構いいんじゃないかなと思うんですけど僕は
[15:11 - 15:17] そこを紐付けて配信した場合フォロワーも結構増えていくじゃないですか
[15:17 - 15:26] なのでそうなったときにてことは公式ラインと同じ悪割をしているのになんかそこをもっと使え
[15:26 - 15:35] レバー公式ラインで掘り起こししているのと同じ数が出てくるんじゃないかなっていうのが
[15:35 - 15:47] このオーガニックのフォロワーの運用みたいフォロワー運用みたいなリスト運用はするけどフォロワー運用してないよねみたいなところのやり方の立ち位置になるかなというふうに思っています
[15:47 - 15:52] ということで今日のテーマとしてこの2つをアゲストしていただきますと
[15:52 - 15:59] 1つ目は初期構築っていうところをしてプロフィールをしっかり整えるだったりとか
[15:59 - 16:04] しっかりと動画のクオリティを上げていくっていうところをすることによって
[16:04 - 16:12] 今林さんがお話している広告のやり方をやるだけで単朴でフォロワーもシレッと増えているみたいな
[16:12 - 16:19] そんな状態を一旦作っておいてそれを作れたらあとは林さんの言ってることをやるだけだ
[16:19 - 16:27] というふうにするっていう単朴戦法ができる準備をしようというところが今日の1つのテーマです
[16:27 - 16:36] 2つ目がその単朴をしてなんかフォロワー溜まってきたなというふうになったらそれをリスト運用と同じように
[16:36 - 16:42] リスト運用も企画を打ったりするじゃないですかセミナーやったりとかなんか転作企画やったりとかみたいな感じでそれと
[16:42 - 16:51] 同じことをストーリーでインスタでもやれば成果が2倍になるというふうに思うのでそこのローン値のやり方
[16:51 - 16:57] 作り方みたいなところをお話ししていくというところが今日のテーマの2つになっていくかなと思います
[16:57 - 17:04] ではじゃあ最初のところですね初期構築っていうところどうやってやるのっていうところをまず話していこうかなというふうに思います
[17:04 - 17:09] ここのある程度のhowみたいなところを喋ったら一旦休憩時間にしようかなと思います
[17:09 - 17:13] ということで皆さんはどんな目的でSNSを発信していますかというところで
[17:13 - 17:17] もちろん目的自分の中であると思うんですけど
[17:17 - 17:27] 一旦なんかワークをしてみたくて皆さん自分のインスタグラムアカウントプロフィールの方をなんか一回開いていただいてもいいですか
[17:27 - 17:32] このプロフィールの画面というところを開いていただければなというふうに思うんですけど
[17:32 - 17:43] 開いたらこの画面をもし皆さんがこの画面というかプロフィールを全く見たことがない人
[17:43 - 17:54] つまり初めましてでこのページを見たときに自分のことが何パーセント伝わっているかっていうのを自分で点数付けてみてほしいなというふうに思っています
[17:54 - 17:58] パッと今見たときですもうパッと見たときに
[17:58 - 18:07] じゃあなんか点数を多分つけたい気がするのでなんか何パーセントですみたいなのに言ってくださる方
[18:07 - 18:12] ありがとうございます 15パーありがとうございます
[18:12 - 18:15] 他に75パー75パー多いですね
[18:15 - 18:21] 何パーですか 70パーすばらしいめっちゃ高い
[18:22 - 18:24] 60パーいいですね
[18:24 - 18:32] まず一旦やることっていうのはこれを100点にすることがゴールだと思っていただければなというふうに思っていますと
[18:32 - 18:37] やっぱり広告で卵ボタンでフォローしてくれるよねっていう状態を作るためには
[18:37 - 18:44] 一旦初めましてで知っておいてほしい情報というところをとにかく並べておくということが重要かなというふうに思います
[18:44 - 18:48] なので店舗の方に関しては
[18:48 - 18:57] あとで詳しく紹介できればなと思うんですけどメニューの詳細とか綺麗な食事とかそういうふうに店舗の魅力が伝わるよねっていう状態にしなきゃいけない
[18:57 - 19:11] し 無形の方に関してはここを見てねっていう動線として行動させるような初めましての動線を作っておかなきゃいけないみたいな感じだと思うので
[19:11 - 19:15] そこのまず初めましてで何をしてほしいのか相手にっていうのと
[19:15 - 19:24] 自分のことはこういうことですよっていうのが一発で伝わるような状態を作っておくっていうところが大事かなというふうに思っています
[19:24 - 19:30] じゃあ初めましてにぶっ刺さるプロフィールだったりとか初めましてに
[19:30 - 19:42] 田中で広告を回してたらフォローが入ってくるようなやり方っていうのはどういうアカウントがあるのかみたいなのをちょっとご紹介できればなというふうに思っています
[19:42 - 19:55] まず店舗に関してはこのテルテルっていうアカウントを今青森県にあるんですけどここを今運用させていただいて
[19:55 - 20:04] 一応オーガニックが得意なので広告費0円で1億5000円ぐらいフォローは取れたんですけど
[20:04 - 20:16] それは一旦本テーマじゃないと思うので置いておいてどういう意識を持ってこの初めましてっていうところに伝わるようなプロフィールを作ってるのかっていうと
[20:16 - 20:25] まずなんかこれ見たときにどこを押せばいいかっていう一瞬でわかると思うんですけどこれが無形でも有形でも必ず僕がやる
[20:25 - 20:34] ことになっていていろんなところを見てねいろんな情報を知ってねっていうふうにすると基本的に外すと思っていて
[20:34 - 20:38] これ見てね
[20:38 - 20:41] フイズですか
[20:41 - 20:45] あどこを見るかどこを見るか
[20:45 - 20:50] えぇ 外したらすごくないですかそれ
[20:51 - 20:55] どこを見るかじゃあさっき答えてない方でもし
[20:55 - 20:57] 受ければ
[20:58 - 21:00] どうですか
[21:01 - 21:04] ああそうですねさすがすごい
[21:07 - 21:14] ここに関しては最初に見てっていうところでクーポン情報ラインのクーポンっていうところを配布するようにしていて
[21:14 - 21:22] このアカウント月間のリーチ数が本当に多いときで30万とかあったんですけどフォロワーになるってなかなか
[21:22 - 21:28] 店舗のアカウントってフォローするのなんかあんまりイメージつかないというか
[21:28 - 21:32] 自分が本当に行きたいって思わないとフォローしないじゃないですか
[21:32 - 21:44] なのでけど初めましてでいいなって思ったのにフォローしてくれなかったら結構もったいないので最初に見てっていうところで
[21:44 - 21:49] ここ登録したらお得屋でっていうのを載せといたら
[21:49 - 21:55] こっちの方が登録者多くなっちゃったんですよフォロワーより
[21:57 - 22:06] ライン限定のお得情報配信中みたいな感じでやっぱり皆さんライン欲しいじゃないですか登録者やっぱりインスタのフォロワーより
[22:06 - 22:12] ラインの登録者の方がプッシュで送れるしどう考えたって資産性高いわけですよ
[22:12 - 22:19] なんですけど一旦インスタのプロフィールを挟んでみた結果僕こっちの方がなぜか取れちゃったっていう
[22:19 - 22:24] それはなんでなのかっていうとさっきお話したように
[22:27 - 22:32] ちゃんと初めましてで情報が入ってるからだと僕は思うんですね
[22:32 - 22:38] つまり得点があって営業時間があって口込みが
[22:38 - 22:42] 口込みがこんな感じでたくさんあるんですよ
[22:43 - 22:49] ここってこんな真摯にやってるところなんだっていうのがこのなんか
[22:49 - 22:55] 点々で刺せるじゃないですかここすげえちゃんとやってるんだろうなぁみたいな
[22:56 - 23:01] っていうのもそうですしこの人気メニューみたいなところで
[23:02 - 23:11] こういうふうに伝わったりとかあと動画で内装とかを写してると思うんですけど
[23:16 - 23:19] あれ意外と内装出てこない
[23:19 - 23:24] そうなんか内装が綺麗なのかなとかすごい気になるじゃないですかその
[23:24 - 23:29] 中暴も今手袋つけてやつだと思うんですけどそういうのちゃんとやってくれてるのかなとか
[23:29 - 23:35] っていう被言語の気になるところっていうのが動画で一旦こういう感じで
[23:35 - 23:42] 載せておくことによって伝わるから来いに登録がされるんじゃないかなっていうふうに僕は思っていて
[23:42 - 23:51] LPとかって皆さん結構機能面を足球してこれを言ったら入ってくれるかなとかなんだろ
[23:51 - 23:58] これこのフックでいけるかなとかっていう結構計画性を持った訴求をしてると思うんですけど
[23:58 - 24:02] 僕がタナボタだタナボタだっていうふうにさっきから話してる理由は
[24:02 - 24:09] この被言語でたまったま引っかかったみたいな人がたくさん生まれるような設計をしておくことによって
[24:09 - 24:15] LPとかラインとかではなしえないタナボタのその引っかかり度が生まれるみたいな
[24:15 - 24:21] っていう感じなのでこういうやり方がいいんじゃないかなというふうに思ってます
[24:22 - 24:25] じゃあ他のやつで
[24:26 - 24:32] 例えばこの見放た音声みたいなちょっと100個も100個くらい全国でやらせていただいているので
[24:32 - 24:39] 皆さんの事業の携帯に会うやつとかもあると思うのでちょっと後で聞いていただければなと思うんですけど
[24:39 - 24:43] 例えばこの音声とかだったら
[24:45 - 24:49] ちょっと動画のクオリティが良すぎ
[24:49 - 24:53] こんな感じであきれいなんだなっていうふうに
[24:53 - 24:59] 全部が伝わるように被言語で見れるみたいな
[24:59 - 25:02] 暗くていいんだなっていうこの
[25:02 - 25:07] たぶんこういうサウナってなかなか青森にない青森じゃないこれ
[25:07 - 25:09] 福島か福島にないので
[25:10 - 25:13] これはいきたいっていうふうに全然
[25:13 - 25:20] 動画見てても言葉見ないじゃないですか言語見てない皆さんたぶん今眺めてて
[25:20 - 25:25] この文字なんでもいいと思うんですたぶんあって並んでてもたぶん伸びるんですよ
[25:25 - 25:32] っていう感じで映像でちゃんと伝えておくっていうのをやる
[25:32 - 25:36] っていうのがめちゃくちゃいいかなというふうに思ってます
[25:36 - 25:41] なので意識するところは基本的にはまずは
[25:41 - 25:43] 一番最初の基礎としては
[25:43 - 25:48] 田中坂で取れるようにとりあえず整えておきましょうっていうところがありましたと
[25:48 - 25:50] 初めましての人にぶっ刺さるように
[25:50 - 25:55] とりあえずその要素をここまで言えばたぶん皆さんも分かると思うので並べて
[25:55 - 25:58] 要素分解してみたいなのが林さんのワークでやられている
[25:58 - 26:00] と思うので分かると思うんですけど
[26:00 - 26:04] じゃあそれをこれ入れた方がいいかなこれ入れた方がいいかなっていうやつを
[26:04 - 26:06] とりあえず入れておくっていうところをまず一つ目にやる
[26:06 - 26:13] その後に被言語で伝わるような映像とか被言語で伝わるような画像とか
[26:13 - 26:16] っていうのをなるべくたくさん入れておくっていうところ
[26:16 - 26:22] これは僕無形でも全く一緒だと思ってて僕自身の無形の
[26:23 - 26:25] このアカウントをやってるんですけど
[26:27 - 26:33] 僕この1個の
[26:40 - 26:42] このアカウントやってて
[26:42 - 26:47] 今年の6月ぐらいからアカウント始めて
[26:47 - 26:49] 広告費50万円しか使ってないんですけど
[26:49 - 26:53] 累計の売上1,100万くらいあるんですけど
[26:53 - 26:57] しかも動画2本くらいしか作ってなくて
[26:59 - 27:09] これとこれになんか広告を50万円分だけ回したらそんな感じになったんですけど
[27:09 - 27:13] 何が大事かっていう話で
[27:13 - 27:17] この無形でじゃあ地域のインフレンサーになりましょうっていう
[27:17 - 27:21] 訴求をしてるんですけど
[27:21 - 27:23] なんかいっぱいあるじゃないですかそういうふうになったら
[27:23 - 27:25] 稼げますよとか
[27:25 - 27:27] なんだろう子供との時間取れますよとか
[27:27 - 27:31] っていうそういう文字の訴求って
[27:31 - 27:33] どこにでもあるじゃないですか
[27:33 - 27:37] あきたしみんな伝わらないと思うんですねそれだけじゃ
[27:37 - 27:39] じゃなくて
[27:41 - 27:43] なんかこんな感じで
[27:43 - 27:47] これが仕事ですみたいな
[27:47 - 27:49] ああ楽しそうみたいな
[27:53 - 27:57] こういうイベントに行くのが仕事なんだ
[27:57 - 27:59] ああ楽しそうみたいな
[27:59 - 28:03] このひまわり畑歩いてるのが仕事なんだ
[28:03 - 28:05] ああ楽しそうみたいな
[28:09 - 28:11] とかあとストーリーもちょっと後で配布するので
[28:11 - 28:15] データとか配布するので見ていただければと思うんですけど
[28:15 - 28:19] やっぱり文字の後ろに画像映像があるので
[28:19 - 28:21] あこれもしろそうっていうふうになって
[28:21 - 28:25] みんな入ってきてくれるっていうふうに思ってて
[28:25 - 28:27] なのでしかも映像で見せてるので
[28:27 - 28:31] 本当にチャージバック本当にしたことないので
[28:31 - 28:35] めちゃくちゃロイヤリティの高いお客さんが集まるのが
[28:35 - 28:39] いいなというふうに思ってますと
[28:39 - 28:45] なので構築するときに映像と画像っていうところを多様して
[28:45 - 28:47] 被減後で単暴たできるような感じ
[28:47 - 28:51] 訴求塾はもうメタ広告の方でゴリゴリ作り込んでると思うので
[28:51 - 28:55] じゃあ単暴たで被減後の方で取れる
[28:55 - 28:57] という体制をまず作っておく
[28:57 - 29:01] というのがやることかなというふうに思ってますと
[29:01 - 29:05] で逆に言うとやることこれだけなのがすごいいいと思っていて
[29:05 - 29:09] 一回作ったら1年後2年後3年後も
[29:09 - 29:13] 広告回してたらずっと単暴たが発生するっていう状況が生まれる
[29:13 - 29:19] のでまず一旦作ったら本当にそれだけで何とかなるっていう
[29:19 - 29:23] つまりこれ最近ちょっと投稿増やしたんですけど
[29:23 - 29:29] これ6月25日に投稿して
[29:29 - 29:35] 次の投稿9月5日なんですよ
[29:35 - 29:39] なので3回2日に投稿してないみたいな
[29:39 - 29:43] なので本当に要らない
[29:43 - 29:47] この9投稿だけあったんですよ
[29:47 - 29:49] あれ
[29:49 - 29:54] この123456789の9投稿だけあって
[29:54 - 29:58] しかもなんかプロフィール適当に整えておきたいなと思って
[29:58 - 30:00] この4本
[30:00 - 30:02] 全然なんか
[30:02 - 30:04] 2024年の振り返りみたいな
[30:04 - 30:07] めちゃくちゃ使い回しなんですけど
[30:07 - 30:09] もうただ
[30:09 - 30:13] この仕事楽しいよっていう映像をとりあえず並べといただけ
[30:13 - 30:17] みたいな
[30:17 - 30:22] これが仕事ですみたいな感じで
[30:22 - 30:27] これも息子と過ごした秋が一応これ仕事でしたみたいな
[30:28 - 30:30] っていう感じで多分
[30:30 - 30:33] 皆さんも何か素材だったりとか画像だったりとか
[30:33 - 30:36] 何かがあるはずだと思ってて
[30:36 - 30:39] 何か被言語で伝えられるような情報
[30:39 - 30:42] なのでとりあえず並べておくっていうだけで
[30:42 - 30:46] 広告を回すときにめちゃくちゃ有効ですよ
[30:46 - 30:47] っていう話
[30:47 - 30:50] あとはこのちょっとストーリー
[30:50 - 30:53] ハイライトの使用が変わっちゃったのであれなんですけど
[30:53 - 30:56] この働き方っていうここをどうにかしてクリックして
[30:56 - 31:01] 僕は動画を見させたい一本の動画教育動画を見させたいので
[31:01 - 31:04] ここを見てねここを見てねって
[31:04 - 31:10] ここの卵になるようにここに置いておくし
[31:10 - 31:14] ストーリーでも週に1回この動画見てねみたいな感じで
[31:14 - 31:18] 毎週同じやつを適当に乗せてるだけなんですけど
[31:18 - 31:22] そうするとどんどんリストインするみたいな感じで
[31:22 - 31:24] なので1回これを整えておけば
[31:24 - 31:27] 本当にストーリーとか週に1回ちょっっと更新するだけで
[31:27 - 31:30] 全然リストが取れるので
[31:30 - 31:33] せっかく広告をたくさんの金額をかけて回すんだったら
[31:33 - 31:37] ぜひこの卵状態を作ってほしいなっていうふうに思ってます
[31:49 - 31:51] なのでこれを作っておくことによって
[31:51 - 31:54] プロフィールに100人訪れて1人来店するページか
